,state,college,cases,college_size_category,distance_educ_offered,admissions_total,freshmen_enrollment,admissions_men,admissions_women,number_freshmen_submitting_sat,number_freshmen_submitting_act,sat_ebrw_25,sat_ebrw_75,sat_math_25,sat_math_75,act_comp_25,act_comp_75,act_english_25,act_english_75,act_math_25,act_math_75,football_conference,region,status_reopening,stay_at_home_order,large_gatherings,restaurant_limits,bar_closures,face_coverings,class_plan,total_enrollment,percent_infected,greater_than_5
85,California,Occidental College,10.0,2.0,0.0,2752.0,562.0,1038.0,1714.0,383.0,255.0,650.0,730.0,650.0,750.0,28.0,32.0,30.0,35.0,26.0,31.0,Southern California Intercollegiate Athletic Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,1930,0.0051813471502590676,0
86,California,Pepperdine University,36.0,3.0,1.0,4049.0,726.0,1632.0,2417.0,502.0,298.0,610.0,700.0,620.0,750.0,27.0,32.0,28.0,35.0,25.0,30.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,7961,0.004522044969224971,0
88,California,Point Loma Nazarene University,90.0,2.0,1.0,2414.0,612.0,863.0,1551.0,454.0,286.0,580.0,650.0,560.0,660.0,24.0,29.0,23.0,31.0,23.0,28.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Hybrid,4592,0.0195993031358885,0
89,California,Pomona College,16.0,2.0,0.0,770.0,416.0,382.0,388.0,267.0,210.0,690.0,750.0,700.0,790.0,32.0,35.0,34.0,36.0,29.0,35.0,Southern California Intercollegiate Athletic Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,1573,0.010171646535282899,0
91,California,Saint Mary's College of California,15.0,2.0,0.0,4916.0,517.0,1834.0,3082.0,368.0,199.0,540.0,630.0,520.0,610.0,22.0,28.0,22.0,31.0,19.0,26.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,3881,0.0038649832517392425,0
93,California,San Diego State University System,1892.0,5.0,1.0,23905.0,5275.0,9580.0,14325.0,4527.0,1984.0,560.0,650.0,550.0,670.0,22.0,29.0,21.0,29.0,21.0,27.0,Mountain West Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,35303,0.0535931790499391,1
94,California,San Francisco State University,10.0,5.0,1.0,23307.0,3694.0,9051.0,14256.0,3240.0,773.0,470.0,580.0,470.0,570.0,17.0,23.0,16.0,23.0,16.0,22.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,29778,0.00033581838941500435,0
95,California,San Jose State University,73.0,5.0,1.0,22446.0,3964.0,9939.0,12507.0,3691.0,915.0,510.0,620.0,510.0,640.0,18.0,27.0,17.0,26.0,17.0,26.0,Mountain West Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,35400,0.002062146892655367,0
103,California,Sonoma State University,5.0,3.0,1.0,13764.0,1551.0,4885.0,8879.0,1427.0,463.0,490.0,590.0,480.0,580.0,17.0,23.0,16.0,23.0,16.0,23.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,9459,0.000528597103287874,0
105,Kansas,Southwestern College,111.0,2.0,1.0,477.0,160.0,266.0,211.0,58.0,98.0,460.0,530.0,460.0,540.0,18.0,24.0,15.0,23.0,17.0,24.0,Kansas Collegiate Athletic Conference,Midwest,Reopened,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,1514,0.07331571994715984,1
106,California,Stanford University,242.0,4.0,1.0,2062.0,1698.0,987.0,1075.0,1140.0,846.0,700.0,770.0,740.0,800.0,32.0,35.0,34.0,36.0,30.0,35.0,Pacific-12 Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,17381,0.013923249525343765,0
107,California,"University of California, Berkeley",330.0,5.0,1.0,14278.0,6455.0,6019.0,8259.0,5272.0,2703.0,650.0,740.0,680.0,790.0,31.0,35.0,29.0,35.0,28.0,35.0,Pacific-12 Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,42501,0.007764523187689701,0
108,California,"University of California, Davis",123.0,5.0,1.0,30358.0,5957.0,12130.0,18228.0,5325.0,2312.0,580.0,680.0,590.0,730.0,24.0,32.0,22.0,32.0,23.0,29.0,Big Sky Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,38167,0.0032226792779102365,0
109,California,"University of California, Irvine",341.0,5.0,1.0,25360.0,6069.0,10967.0,14393.0,5513.0,2188.0,570.0,670.0,600.0,750.0,24.0,33.0,22.0,32.0,22.0,31.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,36032,0.009463809946714032,0
