college,class_plan,total_enrollment
Goldey-Beacom College,Fully online,1493
Gonzaga University,Hybrid,7563
Good Samaritan College of Nursing and Health Science,Primarily online,532
Goodwin College,Primarily online,3397
Gordon College,Hybrid,1955
Gordon State College,Hybrid,3663
Goshen College,Primarily in person,927
Goucher College,Fully online,2267
Governors State University,Hybrid,4857
Grace Christian University,Primarily in person,1016
Grace College and Seminary,Fully in person,2029
Grace College of Divinity,Fully in person,157
Grace Mission University,Fully online,194
Grace School of Theology,Other,532
Graceland University,Primarily in person,1993
Grambling State University,Primarily in person,5205
Grand Valley State University,Hybrid,24677
Grand View University,Primarily in person,1886
Granite State College,Fully online,2025
Grays Harbor College,Primarily in person,1868
Great Basin College,Primarily online,3451
Great Lakes Christian College,Fully in person,149
Green Mountain College,Other,701
Green River College,Primarily online,8471
Greensboro College,Primarily in person,1026
Greenville University,Primarily in person,1132
Grinnell College,Fully online,1716
Guilford College,Primarily in person,1576
Gulf Coast State College,Hybrid,5644
Gustavus Adolphus College,Primarily online,2241
Gwynedd Mercy University,Primarily online,3056
Hallmark University,Fully online,815
Hamilton College,Hybrid,2005
Hamline University,Primarily in person,3526
Hampden-Sydney College,Fully in person,1072
Hampshire College,Hybrid,1191
Hampton University,Fully online,4321
Hannibal-La Grange University,Primarily in person,890
Hanover College,Primarily in person,1104
Hardin-Simmons University,Hybrid,2344
Harding University,Hybrid,5121
Harris-Stowe State University,Primarily in person,1716
Harrisburg University of Science and Technology,Fully online,4803
Hartwick College,Primarily in person,1176
Harvard University,Fully online,31566
Harvey Mudd College,Fully online,902
Haskell Indian Nations University,Fully online,733
Hastings College,Hybrid,1080
Haverford College,Hybrid,1310
Hawaii Pacific University,Primarily in person,4086
Hebrew Theological College,Hybrid,167
Heidelberg University,Primarily in person,1219
Hellenic College-Holy Cross Greek Orthodox School of Theology,Fully online,154
Henderson State University,Primarily online,3961
Hendrix College,Fully online,1208
Henry Ford College,Primarily online,12219
Heritage Bible College,Other,32
Heritage Christian University,Primarily in person,78
Heritage University,Primarily online,980
Herzing University at Atlanta,Primarily online,762
Herzing University at Birmingham,Fully online,571
Herzing University at Brookfield,Fully online,411
Herzing University at Kenner,Fully online,454
Herzing University at Kenosha,Fully online,443
Herzing University at Madison,Undetermined,2140
Herzing University at Minneapolis,Primarily online,438
Herzing University at Toledo,Hybrid,90
Herzing University at Winter Park,Primarily online,548
Hesston College,Primarily in person,419
High Point University,Fully in person,5137
Highline College,Primarily online,6530
Hilbert College,Primarily in person,764
Hiram CollegePortage,Hybrid,1255
Hiwassee College,Other,253
Hobart and William Smith Colleges,Hybrid,2241
Hobe Sound Bible College,Fully in person,220
Hodges University,Undetermined,1051
Hofstra University,Primarily in person,10871
Hollins University,Primarily in person,805
Holy Apostles College and Seminary,Hybrid,546
Holy Cross College,Primarily in person,499
Holy Family University,Hybrid,3089
Holy Names University,Fully online,960
Homestead Schools,Fully online,197
Hood College,Hybrid,2005
Hope College,Primarily in person,3149
Hope International University,Primarily online,1253
Horizon University,Fully online,69
Houghton College,Hybrid,1001
Houston Baptist University,Hybrid,3432
Howard Payne University,Primarily in person,1027
Howard University,Fully online,9139
Hult International Business School at Boston,Hybrid,3065
Humboldt State University,Primarily online,7972
Humphreys University,Primarily online,463
Huntingdon College,Fully in person,1081
Huntington University,Primarily in person,1302
Huntsville Bible College,Primarily in person,128
Husson University,Primarily online,3761
Huston-Tillotson University,Fully online,1119
Idaho State University,Primarily in person,12363
Ilisagvik College,Fully online,335
Illinois College,Other,983
Illinois Institute of Technology,Hybrid,6753
Illinois State University,Primarily online,20635
Illinois Wesleyan University,Primarily online,1693
Immaculata University,Primarily in person,2448
Independence University,Fully online,10095
Indian River State College,Hybrid,16686
Indiana Institute of Technology,Primarily online,2218
Indiana Institute of Technology-College of Professions Studies,Primarily online,4714
Indiana State University,Primarily in person,13044
Indiana University at Bloomington,Primarily online,43503
Indiana University at Kokomo,Primarily online,3123
Indiana University at South Bend,Hybrid,5214
Indiana University East,Hybrid,3722
Indiana University Northwest,Primarily online,3959
Indiana University of Pennsylvania,Hybrid,11483
Indiana University Southeast,Hybrid,5144
Indiana University-Purdue University at Indianapolis,Hybrid,29579
Indiana Wesleyan University,Primarily in person,3188
Indiana Wesleyan University-National and Global,Fully online,10614
Institute of American Indian Arts,Primarily online,589
International Baptist College and Seminary,Fully in person,78
Iona College,Primarily online,3926
Iowa State University,Primarily in person,34992
Iowa Wesleyan University,Fully in person,616
Ithaca College,Fully online,6517
Jackson College,Fully online,5083
Jackson State University,Primarily online,7250
Jacksonville State University,Primarily online,8479
Jacksonville University,Primarily in person,4213
James Madison University,Fully online,21751
Jarvis Christian College,Fully online,964
Jefferson College of Health Sciences,Primarily online,1128
Jewish Theological Seminary of America,Primarily online,336
John Brown University,Fully in person,2516
John Carroll University,Fully online,3555
John F. Kennedy University,Other,975
John Paul the Great Catholic University,Hybrid,308
Johns Hopkins University,Fully online,26152
Johnson & Wales University - North Miami,Primarily online,1361
Johnson & Wales University,Primarily online,7360
Johnson & Wales University - Charlotte,Primarily online,1681
Johnson & Wales University - Denver,Primarily online,1008
Johnson C. Smith University,Fully online,1565
Johnson State College,Primarily in person,2590
Johnson University,Fully in person,1088
Johnson University Florida,Primarily online,204
Judson College,Fully in person,268
Judson University,Primarily in person,1256
Juilliard School,Primarily online,942
Juniata College,Hybrid,1433
Kalamazoo College,Fully online,1467
Kansas Christian College,Other,151
Kansas City Art Institute,Fully in person,672
Kansas State University,Primarily in person,22221
Kansas Wesleyan University,Hybrid,741
Kaplan University at Cedar Falls,Primarily online,149
Kaplan University at Cedar Rapids,Fully online,411
Kaplan University at Davenport,Fully online,30512
Kaplan University at Hagerstown,Fully online,494
Kaplan University at Indianapoli,Fully online,1498
Kaplan University at Lincoln,Fully online,288
Kaplan University at Mason City,Other,142
Kaplan University at Milwaukee,Fully online,284
Kaplan University at Omaha,Undetermined,332
Kaplan University at Portland,Fully online,503
Kaplan University at St. Louis,Fully online,278
Kaplan University at Urbandale,Fully online,760
Kaplan University-Augusta,Fully online,489
Kean University,Primarily online,14056
Keene State College,Hybrid,3543
Kehilath Yakov Rabbinical Seminary,Other,159
Keiser University at Ft. Lauderdale,Primarily in person,19510
Kennesaw State University,Hybrid,35420
Kenrick-Glennon Seminary-Kenrick School of Theology,Fully in person,130
Kent State University at Ashtabula,Primarily online,2026
Kent State University at East Liverpool,Hybrid,1123
Kent State University at Kent,Primarily online,28122
Kent State University at Salem,Primarily online,1697
Kent State University-Geauga Campus,Hybrid,2179
Kent State University-Stark,Primarily online,4771
Kent State University-Trumbull,Primarily online,2244
Kent State University-Tuscarawas,Hybrid,2168
Kentucky Christian University,Primarily in person,681
Kentucky Mountain Bible College,Hybrid,71
Kentucky State University,Primarily online,1778
Kentucky Wesleyan College,Hybrid,830
Kenyon College,Primarily online,1730
